,first_hour_move,open_to_close_move,power_hour_move,gap_percentile,consecutive_days_above_20sma_percentile,open_from_BB_up_percentile,pm_dollar_volume_percentile,x_day_high_at_open_percentile,1month_change_from_high_percentile,red_days_percentile,green_days_percentile
2253,"0,0007438269211","-0,01812564743","0,01839274135","0,932","0,003","0,945","0,136","0,003","0,028","0,003","0,505"
2254,"0,01092110874","0,01825586354","0,001249564959","0,151","0,643","0,161","0,281","0,003","0,892","0,003","0,879"
2255,"-0,006325749522","-0,005634701255","0,001231065675","0,631","0,003","0,558","0,133","0,003","0,41","0,5","0,003"
2256,"0,001760739261","-0,004578754579","-0,006398537477","0,143","0,92","0,342","0,374","0,003","0,744","0,49","0,003"
2257,"0,004260432598","0,01086956522","-0,00108220143","0,229","0,003","0,516","0,613","0,003","0,47","0,877","0,003"
2258,"-0,003042035398","-0,001382743363","0,003403959708","0,221","0,003","0,742","0,812","0,003","0,294","0,003","0,832"
2259,"-0,002657365886","0,01411725627","-0,0003547163633","0,163","0,388","0,09","0,415","0,003","0,817","0,003","0,934"
2260,"0,002732667083","0,02658494691","0,003242789562","0,101","0,49","0,679","0,425","0,003","0,568","0,003","0,52"
2261,"0,01303013648","0,03013648438","0,008112590202","0,224","0,003","0,95","0,568","0,003","0,035","0,877","0,003"
2262,"0,038650866","0,02370100273","-0,005446574857","0,219","0,003","0,716","0,02","0,003","0,161","0,003","0,482"
2263,"0,006276485168","0,01223314944","-0,0003158559697","0,427","0,93","0,184","0,131","0,003","0,874","0,003","0,862"
2264,"-0,01206053918","-0,01876083872","-0,00290365861","0,095","0,598","0,15","0,45","0,003","0,59","0,003","0,889"
2265,"-0,01239965955","0,01209926403","0,004538527794","0,216","0,681","0,184","0,304","0,003","0,849","0,003","0,711"
2266,"0,00332814049","0,001487041496","-0,007055850037","0,17","0,668","0,412","0,671","0,003","0,702","0,526","0,003"
2267,"-0,004015348335","0,009912466525","-0,001221445258","0,093","0,003","0,745","0,814","0,003","0,412","0,869","0,003"
2268,"0,007421150278","0,01293944151","0,0001413809964","0,166","0,889","0,533","0,696","0,003","0,526","0,965","0,003"
2269,"0,005479283384","0,01366742597",0,"0,206","0,786","0,45","0,106","0,003","0,719","0,759","0,003"
2270,"-0,01730030654","0,01807547303","-0,005575440529","0,214","0,698","0,142","0,525","0,003","0,859","0,003","0,832"
2271,"-0,009337005441","0,0004030362061","0,003774347914","0,681","0,003","0,592","0,103","0,003","0,455","0,892","0,003"
2272,"0,009791191902","0,01913190948","0,005030378258","0,523","0,827","0,511","0,101","0,003","0,776","0,003","0,5"
2273,"0,04823642805","0,09034073148","0,01616897305","0,211","0,862","0,697","0,962","0,003","0,859","0,754","0,003"
2274,"-0,004283244263","-0,007073247406","0,0004355228254","0,09","0,925","0,75","0,854","0,003","0,317","0,869","0,003"
2275,"-0,01922838358","-0,01960054584","-0,001687013783","0,159","0,003","0,609","0,111","0,003","0,325","0,003","0,737"
2276,"-0,008042412898","0,002604877831","0,004452057989","0,475","0,603","0,1","0,128","0,003","0,874","0,003","0,925"
2277,"-0,0107338351","-0,01915839891","0,01951371294","0,224","0,003","0,697","0,484","0,003","0,27","0,516","0,003"
2278,"0,02221431114","0,004473715438","-0,007049785813","0,385","0,461","0,435","0,534","0,003","0,622","0,003","0,7"
2279,"0,005452700989","0,02187420746","0,00286229855","0,229","0,945","0,609","0,108","0,003","0,501","0,861","0,003"
2280,"-0,04120484237","-0,07019739994","-0,0005267012467","0,209","0,003","0,624","0,357","0,003","0,261","0,003","0,832"
2281,"0,009695277207","0,005585215606","0,005915701257","0,152","0,633","0,325","0,917","0,003","0,737","0,003","0,934"
2282,"-0,02139091646","-0,01226682887","0,0131017989","0,128","0,003","0,847","0,309","0,003","0,156","0,003","0,518"
2283,"0,02167230249","0,0284352905","0,007134686014","0,219","0,003","0,937","0,156","0,003","0,071","0,003","0,489"
2284,"0,01289444861","-0,04075632674","-0,009877424729","0,217","0,003","0,91","0,786","0,003","0,073","0,003","0,489"
2285,"0,001858831527","0,0108387779","-0,0004108003137","0,098","0,636","0,321","0,412","0,003","0,847","0,003","0,955"
2286,"0,04700277088","0,01917453934","-0,001379848217","0,206","0,681","0,029","0,58","0,003","0,859","0,003","0,945"
2287,"0,02944522019","-0,002309344791","-0,005407431202","0,204","0,729","0,042","0,294","0,003","0,814","0,003","0,92"
2288,"-0,001341681574","0,003764162194","0,005938597146","0,088","0,897","0,403","0,671","0,003","0,769","0,003","0,759"
2289,"-0,01129347488","0,02689927301","0,003911819412","0,126","0,003",#VALUE!,"0,296","0,003","0,573","0,945","0,003"
2290,"0,006549232159","-0,01889491117","-0,003059741452","0,085","0,003","0,821","0,704","0,003","0,151","0,003","0,52"
2291,"-0,01003031384","-0,01694008559","0,002454768615","0,492","0,731","0,021","0,126","0,003","0,751","0,003","0,997"
2292,"-0,004218496485","-0,005083829097","-0,005110732538","0,5","0,917","0,253","0,098","0,003","0,683","0,003","0,5"
2293,"-0,01114825581","-0,01496029495","0,0006482281763","0,083","0,897","0,616","0,93","0,003","0,442","0,945","0,003"
2294,"-0,01717898833","-0,0161586684","0,0006040449577","0,201","0,003","0,661","0,698","0,003","0,299","0,754","0,003"
2295,"-0,004946236559","-0,01268817204","-0,001902277298","0,123","0,003","0,871","0,618","0,003","0,06","0,726","0,003"
2296,"-0,00897338403","-0,03368821293","4,37E-05","0,08","0,003","0,842","0,266","0,003","0,055","0,003","0,889"
2297,"0,01589186546","0,01966400056","-0,006297014875","0,296","0,698","0,339","0,095","0,003","0,834","0,003","0,5"
2298,"0,002008623409","0,006309811757","-0,007571043352","0,131","0,545","0,761","0,402","0,003","0,349","0,003","0,751"
