Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', 'red_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, red_days_percentile: > 0.7",0.13806845093770004,0.9380911096461999,0.03442265477459999,223
"('consecutive_days_above_20sma_percentile', 'red_days_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, red_days_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.06835948063530001,0.9372943341200001,0.005222003003999994,233
"('gap_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","gap_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",0.5286117182987,0.921848234179,0.15740335646269998,134
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: > 0.7",0.267922967114,0.9110729741973,0.19114720188020004,71
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, green_days_percentile: > 0.7",0.7585530184622,0.8983226066954001,-0.0431534460333,211
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",0.34028011756239995,0.8893323662403,0.07551216647,88
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.1283733700925,0.8872636243032999,-0.027085709993399994,174
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, pm_dollar_volume_percentile: < 0.3, red_days_percentile: < 0.3",0.40298756464609997,0.8817285817250001,-0.012290582691500004,145
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', 'x_day_high_at_open_percentile')","consecutive_days_above_20sma_percentile: > 0.7, pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3",0.28032275261539996,0.8802078625393,-0.05733248140799998,308
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",0.1317090146292,0.8788856530133999,-0.02516652497939998,118
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.14630301664689999,0.8711952841451,0.16050859048420002,171
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",0.30332729007299997,0.8693512083334,0.026575068834999997,88
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: 0.3 - 0.7",0.6563809272034,0.8675870618500001,0.025785453019800016,178
